,年數,月,前後,競賽名稱,階級,距離,分類,跑道,場地,行進方向,粉絲増加（人）
資深級,第３年,8月,前,關越錦標賽,OP,1800,一哩,草地,新潟,逆・外,2400
資深級,第３年,8月,後,札幌紀念,G2,2000,中距離,草地,札幌,順,7000
資深級,第３年,8月,後,北九州紀念,G3,1200,短距離,草地,小倉,順,3900
資深級,第３年,8月,後,堅蘭盃,G3,1200,短距離,草地,札幌,順,4100
資深級,第３年,8月,後,NST賞,OP,1200,短距離,沙地,新潟,逆,2200
資深級,第３年,8月,後,BSN賞,OP,1800,一哩,沙地,新潟,逆,2300
資深級,第３年,8月,後,小倉日經公開賽,OP,1800,一哩,草地,小倉,順,2400
資深級,第３年,8月,後,朱鷺錦標賽,OP,1400,短距離,草地,新潟,逆・内,2500
資深級,第３年,9月,前,人馬錦標賽,G2,1200,短距離,草地,阪神,順・内,5900
資深級,第３年,9月,前,新潟紀念,G3,2000,中距離,草地,新潟,逆・外,4100
資深級,第３年,9月,前,京成盃秋季讓賽,G3,1600,一哩,草地,中山,順・外,3900
資深級,第３年,9月,前,丹頂錦標賽,OP,2600,長距離,草地,札幌,順,2400
資深級,第３年,9月,前,危宿三錦標賽,OP,1400,短距離,沙地,阪神,順,2300
資深級,第３年,9月,前,日本電台賞,OP,1800,一哩,沙地,中山,順,2200
資深級,第３年,9月,後,產經賞,G2,2200,中距離,草地,中山,順・外,6700
資深級,第３年,9月,後,短途跑者錦標賽,G1,1200,短距離,草地,中山,順・外,13000
資深級,第３年,9月,後,天狼星錦標賽,G3,2000,中距離,沙地,阪神,順,3600
資深級,第３年,9月,後,港灣人工島錦標賽,OP,1600,一哩,草地,阪神,順・外,2500
資深級,第３年,9月,後,長月錦標賽,OP,1200,短距離,沙地,中山,順,2200
資深級,第３年,10月,前,京都大賞典,G2,2400,中距離,草地,京都,順・外,6700
資深級,第３年,10月,前,毎日王冠,G2,1800,一哩,草地,東京,逆,6700
資深級,第３年,10月,前,府中賽馬娘錦標賽,G2,1800,一哩,草地,東京,逆,5500
資深級,第３年,10月,前,蛋白石錦標賽,OP,1200,短距離,草地,京都,順・内,2500
資深級,第３年,10月,前,綠色頻道盃,OP,1400,短距離,沙地,東京,逆,2300
資深級,第３年,10月,前,十月錦標賽,OP,2000,中距離,草地,東京,逆,2600
資深級,第３年,10月,前,信越錦標賽,OP,1400,短距離,草地,新潟,逆・内,2500
資深級,第３年,10月,前,太秦錦標賽,OP,1800,一哩,沙地,京都,順,2200
資深級,第３年,10月,後,天皇賞(秋),G1,2000,中距離,草地,東京,逆,15000
資深級,第３年,10月,後,天鵝錦標賽,G2,1400,短距離,草地,京都,順・外,5900
資深級,第３年,10月,後,富士錦標賽,G2,1600,一哩,草地,東京,逆,5900
資深級,第３年,10月,後,室町錦標賽,OP,1200,短距離,沙地,京都,順,2200
資深級,第３年,10月,後,巴西盃,OP,2100,中距離,沙地,東京,逆,2300
資深級,第３年,10月,後,仙后座錦標賽,OP,1800,一哩,草地,京都,順・外,2600
資深級,第３年,10月,後,光芒秋季短途賽,OP,1000,短距離,草地,新潟,直線,2500
資深級,第３年,11月,前,伊麗莎白女王盃,G1,2200,中距離,草地,京都,順・外,10500
資深級,第３年,11月,前,JBC女士經典賽,G1,1800,一哩,沙地,大井,順,4100
資深級,第３年,11月,前,JBC短途賽,G1,1200,短距離,沙地,大井,順,6000
資深級,第３年,11月,前,JBC經典賽,G1,2000,中距離,沙地,大井,順,8000
資深級,第３年,11月,前,阿根廷共和國盃,G2,2500,長距離,草地,東京,逆,5700
資深級,第３年,11月,前,都城錦標賽,G3,1800,一哩,沙地,京都,順,3800
資深級,第３年,11月,前,武藏野錦標賽,G3,1600,一哩,沙地,東京,逆,3800
資深級,第３年,11月,前,福島紀念,G3,2000,中距離,草地,福島,順,4100
資深級,第３年,11月,前,黃金盃,OP,1400,短距離,草地,東京,逆,2500
資深級,第３年,11月,後,日本盃,G1,2400,中距離,草地,東京,逆,30000
資深級,第３年,11月,後,一哩冠軍賽,G1,1600,一哩,草地,京都,順・外,11000
資深級,第３年,11月,後,京阪盃,G3,1200,短距離,草地,京都,順・内,3900
資深級,第３年,11月,後,仙后座錦標賽,OP,2000,中距離,草地,京都,順・内,2600
資深級,第３年,11月,後,霜月錦標賽,OP,1400,短距離,沙地,東京,逆,2200
資深級,第３年,11月,後,福島民友盃,OP,1700,一哩,沙地,福島,順,2300
資深級,第３年,11月,後,首都錦標賽,OP,1600,一哩,草地,東京,逆,2500
資深級,第３年,11月,後,秋葉錦標賽,OP,1200,短距離,沙地,京都,順,2200
資深級,第３年,12月,前,日本冠軍盃,G1,1800,一哩,沙地,中京,逆,10000
資深級,第３年,12月,前,長途跑者錦標賽,G2,3600,長距離,草地,中山,順・内,6200
資深級,第３年,12月,前,挑戰盃,G3,2000,中距離,草地,阪神,順・内,4100
資深級,第３年,12月,前,中日新聞盃,G3,2000,中距離,草地,中京,逆,4100
資深級,第３年,12月,前,五車二錦標賽,G3,1200,短距離,沙地,中山,順,3600
資深級,第３年,12月,前,綠松石錦標賽,G3,1600,一哩,草地,中山,順・外,3600
資深級,第３年,12月,前,青金石錦標賽,OP,1200,短距離,草地,中山,順・外,2500
資深級,第３年,12月,前,師走錦標賽,OP,1800,一哩,沙地,中山,順,2300
資深級,第３年,12月,前,參宿七錦標賽,OP,1600,一哩,草地,阪神,順・外,2500
資深級,第３年,12月,前,坦桑石錦標賽,OP,1200,短距離,草地,阪神,順・内,2300
資深級,第３年,12月,前,十二月錦標賽,OP,1800,一哩,草地,中山,順・内,2600
資深級,第３年,12月,後,有馬紀念,G1,2500,長距離,草地,中山,順・内,30000
資深級,第３年,12月,後,東京大賞典,G1,2000,中距離,沙地,大井,順,8000
資深級,第３年,12月,後,阪神盃,G2,1400,短距離,草地,阪神,順・内,6700
資深級,第３年,12月,後,銀河錦標賽,OP,1400,短距離,沙地,阪神,順,2200
資深級,第３年,12月,後,參宿四錦標賽,OP,1800,一哩,沙地,阪神,順,2200
